   Kepler-22b   0.98   0.96 289.86   2.39  24.23   0.85 0.09  1.011 15.000 15.000 15.000 15.000 15.000
    K00174.01   0.67   0.65  56.35   2.37  23.38   0.25 0.02  0.001  0.044  0.375  0.053  0.552  1.563
    K00227.01   0.47   0.49  17.66   2.38  23.70   0.10 0.01  0.000  0.000  0.004  0.000  0.004  0.012
    K00463.01   0.30   0.30  18.48   1.73   7.40   0.09 0.53  0.000  0.000  0.004  0.000  0.004  0.012
    K00494.01   0.48   0.50  25.70   1.79   8.31   0.14 0.18  0.000  0.002  0.013  0.001  0.016  0.049
  Kepler-225c   0.48   0.51  18.79   2.15  16.40   0.11 0.05  0.000  0.000  0.004  0.000  0.005  0.015
  Kepler-231c   0.49   0.53  19.27   1.95  11.35   0.11 0.05  0.000  0.001  0.005  0.000  0.005  0.015
  Kepler-236c   0.51   0.53  23.97   2.01  12.85   0.13 0.10  0.000  0.001  0.011  0.001  0.013  0.039
    K00854.01   0.47   0.49  56.06   2.18  17.22   0.23 0.28  0.001  0.041  0.348  0.048  0.512  1.448
   Kepler-55c   0.62   0.67  42.15   2.35  22.61   0.21 0.02  0.000  0.014  0.117  0.015  0.160  0.462
    K00947.01   0.46   0.49  28.60   2.05  13.85   0.14 0.19  0.000  0.003  0.023  0.002  0.028  0.083
    K00959.01   0.12   0.09  12.71   2.44  26.08   0.05 0.02  0.000  0.000  0.001  0.000  0.001  0.003
    K01058.01   0.18   0.16   5.67   0.53   0.13   0.03 0.04  0.000  0.000  0.000  0.000  0.000  0.000
    K01725.01   0.32   0.32   9.89   1.37   3.16   0.06 0.04  0.000  0.000  0.000  0.000  0.000  0.001
    K01871.01   0.62   0.65  92.73   2.44  25.81   0.35 0.05  0.010  0.326  2.802  0.452  4.602 12.659
    K01938.01   0.70   0.78  96.92   2.21  17.96   0.38 0.08  0.011  0.364  3.134  0.518  5.200 14.256
    K01989.01   0.84   0.82 201.12   2.01  12.68   0.63 0.20  0.205  6.247 15.000 10.380 15.000 15.000
    K02020.01   0.55   0.54 110.97   2.17  16.77   0.37 0.32  0.019  0.616  5.324  0.895  9.067 15.000
    K02124.01   0.55   0.56  42.34   1.15   1.69   0.20 0.34  0.000  0.009  0.075  0.010  0.103  0.297
  Kepler-369c   0.47   0.50  14.87   1.61   5.71   0.09 0.04  0.000  0.000  0.001  0.000  0.001  0.005
    K02290.01   0.72   0.79  91.50   2.05  13.86   0.37 0.12  0.008  0.276  2.377  0.386  3.891 10.710
    K02373.01   0.83   0.87 147.28   2.03  13.19   0.52 0.14  0.058  1.821 15.000  2.828 15.000 15.000
    K02401.01   0.60   0.59  38.23   1.56   5.10   0.19 0.03  0.000  0.007  0.060  0.008  0.081  0.235
    K02418.01   0.41   0.43  86.83   1.32   2.73   0.29 0.56  0.005  0.168  1.443  0.227  2.341  6.457
    K02469.01   0.64   0.69 131.19   2.26  19.59   0.45 0.24  0.039  1.233 10.696  1.893 15.000 15.000
    K02474.01   0.80   0.81 176.85   1.81   8.65   0.57 0.31  0.114  3.498 15.000  5.737 15.000 15.000
    K02554.01   0.51   0.52  39.76   1.42   3.59   0.18 0.18  0.000  0.008  0.066  0.008  0.090  0.260
    K02626.01   0.35   0.36  38.10   1.22   2.05   0.16 0.89  0.000  0.006  0.051  0.006  0.068  0.197
  Kepler-395c   0.56   0.61  34.99   1.56   5.12   0.18 0.12  0.000  0.005  0.042  0.005  0.056  0.163
    K02760.01   0.64   0.67  56.57   1.95  11.46   0.25 0.14  0.001  0.039  0.335  0.047  0.495  1.399
    K02862.01   0.49   0.51  24.58   1.69   6.86   0.13 0.17  0.000  0.001  0.011  0.001  0.013  0.039
    K02882.01   0.61   0.64  75.86   2.41  24.92   0.30 0.05  0.004  0.145  1.246  0.192  1.964  5.454
    K02931.01   0.75   0.76  99.25   1.90  10.46   0.38 0.14  0.011  0.363  3.131  0.516  5.213 14.282
    K02992.01   0.55   0.57  82.66   2.48  27.47   0.31 0.02  0.006  0.208  1.788  0.284  2.870  7.939
    K03010.01   0.52   0.54  60.87   1.73   7.34   0.25 0.75  0.001  0.049  0.415  0.060  0.622  1.754
    K03034.01   0.52   0.54  31.02   1.73   7.37   0.16 0.20  0.000  0.003  0.028  0.003  0.036  0.105
    K03138.01   0.12   0.10   8.69   0.62   0.21   0.04 0.74  0.000  0.000  0.000  0.000  0.000  0.000
  Kepler-437b   0.68   0.72  66.65   1.68   6.59   0.29 0.24  0.002  0.068  0.586  0.087  0.897  2.509
    K03266.01   0.61   0.61  54.51   1.74   7.53   0.24 0.21  0.001  0.031  0.268  0.038  0.392  1.111
