# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 17 16:27:30 2015
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_kepmag:     Kepler-band [mag]
# COLUMN koi_jmag:       J-band [mag]
#
rowid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_jmag
1,K00001.01,Kepler-1 b,CONFIRMED,2.470613385000,0.818600,1.74259,14186.4000,1344.0,5850.00,4.455,0.9500,11.338,10.232
2,K00002.01,Kepler-2 b,CONFIRMED,2.204735365000,0.001000,3.88216,6690.6000,2025.0,6350.00,4.021,1.9910,10.463,9.555
3,K00003.01,Kepler-3 b,CONFIRMED,4.887802706000,0.026000,2.36386,4342.1000,801.0,4777.00,4.590,0.7650,9.174,7.608
4,K00004.01,,CANDIDATE,3.849371501000,0.919300,2.66050,1317.3000,2035.0,6244.00,3.657,2.9920,11.432,10.475
5,K00005.01,,CANDIDATE,4.780327766000,0.951600,2.03490,977.2000,1396.0,5753.00,4.003,1.7470,11.665,10.542
6,K00005.02,,CANDIDATE,7.051856370000,,3.69000,,,,,,11.665,10.542
7,K00006.01,,FALSE POSITIVE,1.334104268000,1.274100,3.01420,444.2000,2166.0,6178.00,4.106,1.5800,12.161,11.259
8,K00007.01,Kepler-4 b,CONFIRMED,3.213668628000,0.018900,3.99355,727.7000,1507.0,5781.00,4.105,1.5330,12.211,11.122
9,K00008.01,,FALSE POSITIVE,1.160153243000,0.784300,1.41270,368.7000,1752.0,5842.00,4.433,0.9850,12.450,11.371
10,K00009.01,,FALSE POSITIVE,3.719807963000,0.938400,3.52200,3749.1000,1271.0,6277.00,4.457,1.0150,13.123,12.158
11,K00010.01,Kepler-8 b,CONFIRMED,3.522498573000,0.614100,3.19061,9379.3000,1521.0,6225.00,4.169,1.4510,13.563,12.576
12,K00011.01,,FALSE POSITIVE,3.747839179000,1.075100,5.11140,871.7000,1031.0,5514.00,4.569,0.8260,13.496,12.236
13,K00012.01,Kepler-448 b,CONFIRMED,17.855219698000,0.000900,7.42939,9153.6000,942.0,6635.00,4.193,1.5160,11.353,10.461
14,K00013.01,Kepler-13 b,CONFIRMED,1.763587569000,0.374200,3.18137,4598.9000,3560.0,9107.00,3.867,3.0310,9.958,9.466
15,K00014.01,,FALSE POSITIVE,2.947375658000,0.975700,1.96590,401.0000,2405.0,8090.00,4.002,2.2340,10.470,9.942
16,K00015.01,,FALSE POSITIVE,3.012476803000,1.407300,3.09520,1861.7000,2290.0,8605.00,4.195,1.8780,12.403,11.955
17,K00016.01,,FALSE POSITIVE,0.895278174000,0.948800,2.91900,937.0000,4255.0,8040.00,3.707,3.3250,13.574,12.761
18,K00017.01,Kepler-6 b,CONFIRMED,3.234699312000,0.000800,3.60111,10814.1000,1355.0,5640.00,4.236,1.2910,13.303,12.001
19,K00018.01,Kepler-5 b,CONFIRMED,3.548465405000,0.000300,4.57705,7451.9000,1640.0,6290.00,4.074,1.7460,13.369,12.115
20,K00019.01,,CANDIDATE,1.203200978000,1.157000,1.91840,2837.6000,2124.0,6218.00,4.198,1.3490,11.374,10.578
21,K00020.01,Kepler-12 b,CONFIRMED,4.437963030000,0.000000,4.70104,16721.1000,1338.0,5953.00,4.175,1.4150,13.438,12.406
22,K00021.01,,FALSE POSITIVE,4.288515363000,1.179600,2.28783,3543.1000,1395.0,6382.00,4.223,1.2500,13.396,12.338
23,K00022.01,Kepler-422 b,CONFIRMED,7.891448474000,0.200200,4.30403,10612.6000,1000.0,5853.00,4.318,1.1930,13.435,12.357
24,K00023.01,,FALSE POSITIVE,4.693305532000,0.006300,5.12493,14470.1000,1398.0,6351.00,4.205,1.4910,12.291,11.336
25,K00024.01,,FALSE POSITIVE,2.086076093000,0.910400,2.28810,4751.3000,1502.0,6129.00,4.425,0.9290,12.963,11.940
26,K00025.01,,CANDIDATE,3.132604970000,1.012600,3.58473,10044.6000,1444.0,6248.00,4.328,1.1810,13.499,12.423
27,K00026.01,,FALSE POSITIVE,15.039462910000,0.906600,5.10030,5609.2000,956.0,6493.00,4.220,1.4240,11.997,11.014
28,K00027.01,,FALSE POSITIVE,1.141876914000,0.884400,3.97377,313766.0000,2182.0,6158.00,4.152,1.3680,13.418,12.369
29,K00028.01,,FALSE POSITIVE,4.100870444000,0.947100,8.00716,122063.0000,1412.0,5923.00,4.118,1.5100,11.260,10.624
30,K00031.01,,FALSE POSITIVE,0.925588053000,0.006400,1.83530,384.7000,6642.0,4094.00,1.627,24.4880,10.795,8.932
31,K00033.01,,FALSE POSITIVE,0.366197825000,0.758100,1.19440,327.0000,9970.0,4448.00,1.694,31.5000,11.059,8.468
32,K00041.01,Kepler-100 c,CONFIRMED,12.815883780000,0.589100,6.37280,218.1000,946.0,5825.00,4.125,1.4900,11.197,10.081
33,K00041.02,Kepler-100 b,CONFIRMED,6.887060370000,0.513400,4.42760,73.9000,1163.0,5825.00,4.125,1.4900,11.197,10.081
34,K00041.03,Kepler-100 d,CONFIRMED,35.333086600000,0.594200,5.90400,93.8000,674.0,5825.00,4.125,1.4900,11.197,10.081
